city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,source,provider,segment_name,weather_cell_id,roadClosure,date,dedup_records_collapsed,dedup_duplicate_key_rows,hour_of_day,day_of_week,day_of_month,month_of_year,is_weekend,is_peak_hour,time_gap_minutes,has_previous_exact_bucket,has_large_gap_before,congestion_ratio,speed_lag_1,congestion_lag_1,speed_lag_2,congestion_lag_2,speed_lag_3,congestion_lag_3,speed_lag_4,congestion_lag_4,speed_lag_5,congestion_lag_5,speed_lag_6,congestion_lag_6,speed_lag_7,congestion_lag_7,speed_lag_8,congestion_lag_8,speed_lag_9,congestion_lag_9,speed_lag_10,congestion_lag_10,speed_lag_11,congestion_lag_11,speed_lag_12,congestion_lag_12,speed_trend_1,speed_trend_2,speed_acceleration,speed_rolling_avg_15m,speed_rolling_avg_30m,speed_rolling_avg_60m,congestion_rolling_avg_15m,congestion_rolling_avg_30m,congestion_rolling_avg_60m,speed_volatility_15m,speed_volatility_30m,valid_history_15m,valid_history_30m,valid_history_60m,weather_temperature,weather_humidity,weather_rain_1h,weather_visibility,weather_wind_speed,has_rain,weather_severity,p15,p50,p85,baseline_congestion_ratio,speed_vs_p15,speed_vs_p50,speed_vs_p85,speed_percentile_position,is_below_p15,is_above_p85,is_between_p15_p50,is_anomaly_vs_baseline,future_speed_15m,has_exact_target_15m,future_speed_60m,has_exact_target_60m,future_speed_240m,has_exact_target_240m,is_holiday_vn,road_class_encoded,length_m,is_short_segment,speed_limit_encoded,district_segment_count,direction_quadrant,has_accident,has_flood,has_roadwork,has_any_event,max_accident_severity_1h,max_flood_severity_1h,max_roadwork_severity_1h,degree_centrality,betweenness_centrality,closeness_centrality,degree_centrality_encoded,betweenness_centrality_encoded,network_importance_score,news_event_count_1h,news_event_count_3h,news_event_count_6h,accident_count_1h,congestion_news_count_1h,roadwork_count_24h,weather_disruption_count_6h,flood_count_6h,max_event_severity_1h,max_event_severity_6h,avg_traffic_relevance_score_6h,has_recent_accident,has_recent_roadwork,has_recent_flood,has_major_event,has_weather_disruption
hanoi,HN_001,2026-05-14 12:10:00,2026-05-14 12:10:03.944483,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,,0,0,0.3055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,35.01,48.0,0.0,10000.0,1.95,0,0,25.0,27.5,28.0,0.23611111111111116,0.0,-2.5,-3.0,0.0,0,0,1,0,28.0,1,28.0,1,24.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:15:00,2026-05-14 12:15:44.571610,24.0,36.0,3.33,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,35.01,48.0,0.0,10000.0,1.95,0,0,25.0,27.5,28.0,0.23611111111111116,-1.0,-3.5,-4.0,0.0,1,0,0,1,25.0,1,28.0,1,21.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:20:00,2026-05-14 12:20:49.239605,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,0,0,0,34.95,48.0,0.0,10000.0,1.95,0,0,25.0,27.5,28.0,0.23611111111111116,1.0,-1.5,-2.0,0.3333333333333333,0,0,1,0,28.0,1,27.0,1,22.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:25:00,2026-05-14 12:25:54.340526,28.0,36.0,2.22,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,,,,,,,2.0,-1.0,3.0,25.0,,,0.3055555555555556,,,1.0,,1,0,0,34.95,48.0,0.0,10000.0,1.95,0,0,25.0,27.5,28.0,0.23611111111111116,3.0,0.5,0.0,1.0,0,0,0,0,27.0,1,26.0,1,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:30:00,2026-05-14 12:30:59.080435,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,,,,,2.0,2.0,0.0,26.0,,,0.2777777777777778,,,2.0,,1,0,0,35.58,44.0,0.0,10000.0,2.73,0,0,25.0,27.5,28.0,0.23611111111111116,0.0,-2.5,-3.0,0.0,0,0,1,0,28.0,1,28.0,1,22.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:35:00,2026-05-14 12:36:04.100187,28.0,36.0,2.22,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,,,-3.0,2.0,-5.0,26.333333333333332,,,0.26851851851851855,,,1.5275252316519468,,1,0,0,35.58,44.0,0.0,10000.0,2.73,0,0,25.0,27.5,28.0,0.23611111111111116,3.0,0.5,0.0,1.0,0,0,0,0,29.0,1,23.0,1,21.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:40:00,2026-05-14 12:41:08.572553,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,,,3.0,-3.0,6.0,27.0,26.0,,0.25,0.2777777777777778,,1.7320508075688772,1.6733200530681511,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,27.5,28.0,0.2567567567567568,2.0,-0.5,-1.0,0.6666666666666666,0,0,1,0,28.0,1,25.0,1,22.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:45:00,2026-05-14 12:46:13.098984,28.0,36.0,2.22,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,,,-1.0,3.0,-4.0,26.666666666666668,26.333333333333332,,0.26601601601601604,0.2718968968968969,,1.5275252316519465,1.632993161855452,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,27.5,28.0,0.23611111111111116,3.0,0.5,0.0,1.0,0,0,0,0,27.0,1,26.0,1,20.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:50:00,2026-05-14 12:51:17.586628,29.0,37.0,2.16,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,,,1.0,-1.0,2.0,27.666666666666668,27.0,,0.23823823823823823,0.25337837837837834,,0.5773502691896258,1.2649110640673518,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,27.5,28.0,0.2567567567567568,4.0,1.5,1.0,1.0,0,1,0,1,28.0,1,26.0,1,21.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 12:55:00,2026-05-14 12:56:22.420528,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,12,3,14,5,0,0,5.0,1,0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,,,1.0,1.0,0.0,28.0,27.5,,0.23623623623623624,0.24311811811811812,,1.0,1.378404875209022,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,27.5,28.0,0.2567567567567568,3.0,0.5,0.0,1.0,0,0,0,0,28.0,1,25.0,1,22.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:00:00,2026-05-14 13:01:28.060644,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,,,-1.0,1.0,-2.0,28.333333333333332,27.5,,0.2272272272272272,0.2466216216216216,,0.5773502691896258,1.378404875209022,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,26.5,28.0,0.28378378378378377,2.0,0.5,-1.0,0.6666666666666666,0,0,0,0,28.0,1,25.0,1,24.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:05:00,2026-05-14 13:06:32.884433,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,,,-1.0,-1.0,0.0,28.0,27.833333333333332,,0.24324324324324323,0.24074074074074078,,1.0,0.752772652709081,1,1,0,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,26.5,28.0,0.28378378378378377,3.0,1.5,0.0,1.0,0,0,0,0,27.0,1,25.0,1,23.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:10:00,2026-05-14 13:11:37.456362,28.0,36.0,2.22,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,25.0,0.3055555555555556,1.0,-1.0,2.0,27.666666666666668,27.833333333333332,26.916666666666668,0.25225225225225223,0.2442442442442442,0.26101101101101104,0.5773502691896258,0.752772652709081,1,1,1,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,26.5,28.0,0.26388888888888884,3.0,1.5,0.0,1.0,0,0,0,0,26.0,1,26.0,1,22.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:15:00,2026-05-14 13:16:42.415701,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,24.0,0.33333333333333337,0.0,1.0,-1.0,27.666666666666668,28.0,27.166666666666668,0.24524524524524524,0.23623623623623624,0.25406656656656657,0.5773502691896258,0.6324555320336759,1,1,1,35.58,44.0,0.0,10000.0,1.11,0,0,25.0,26.5,28.0,0.28378378378378377,3.0,1.5,0.0,1.0,0,0,0,0,28.0,1,24.0,1,20.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:20:00,2026-05-14 13:21:47.361524,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,26.0,0.2777777777777778,0.0,0.0,0.0,28.0,28.0,27.5,0.2362362362362362,0.23973973973973972,0.24655905905905903,0.0,0.6324555320336759,1,1,1,35.585,43.5,0.0,10000.0,1.0550000000000002,0,0,25.0,26.5,28.0,0.28378378378378377,2.0,0.5,-1.0,0.6666666666666666,0,0,0,0,23.0,1,24.0,1,21.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:25:00,2026-05-14 13:26:52.199613,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,28.0,0.2222222222222222,-1.0,0.0,-1.0,27.666666666666668,27.666666666666668,27.583333333333332,0.24524524524524524,0.24874874874874872,0.2459334334334334,0.5773502691896258,0.5163977794943222,1,1,1,35.585,43.5,0.0,10000.0,1.0550000000000002,0,0,25.0,26.5,28.0,0.26388888888888884,1.0,-0.5,-2.0,0.3333333333333333,0,0,1,0,25.0,1,27.0,1,20.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
hanoi,HN_001,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,-1.0,-1.0,0.0,27.0,27.333333333333332,27.416666666666668,0.26376376376376376,0.2545045045045045,0.2505630630630631,1.0,0.816496580927726,1,1,1,36.35,38.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.28378378378378377,3.0,1.5,0.0,1.0,0,0,0,0,26.0,1,26.0,1,20.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,23.0,36.0,3.61,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,2.0,-1.0,3.0,27.0,27.5,27.666666666666668,0.26376376376376376,0.24999999999999997,0.24537037037037035,1.0,0.8366600265340756,1,1,1,36.35,38.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.26388888888888884,-2.0,-3.5,-5.0,0.0,1,0,0,1,26.0,1,25.0,1,19.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 13:40:00,2026-05-14 13:42:07.749650,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,-5.0,2.0,-7.0,25.666666666666668,26.666666666666668,27.25,0.29404404404404405,0.2696446446446446,0.2569444444444445,2.5166114784235836,1.9663841605003503,1,1,1,36.35,38.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.26388888888888884,0.0,-1.5,-3.0,0.0,0,0,1,0,25.0,1,25.0,1,20.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 13:45:00,2026-05-14 13:47:12.590925,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,2.0,-5.0,7.0,25.333333333333332,26.166666666666668,27.083333333333332,0.3033033033033033,0.2835335335335335,0.2598848848848848,2.5166114784235836,1.9407902170679516,1,1,1,36.37,37.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.28378378378378377,1.0,-0.5,-2.0,0.3333333333333333,0,0,1,0,25.0,1,27.0,1,20.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 13:50:00,2026-05-14 13:52:17.284851,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.2777777777777778,26.0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,1.0,2.0,-1.0,24.666666666666668,25.833333333333332,26.916666666666668,0.32132132132132135,0.2925425425425425,0.26614114114114107,1.5275252316519465,1.7224014243685086,1,1,1,36.37,37.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.26388888888888884,1.0,-0.5,-2.0,0.3333333333333333,0,0,1,0,25.0,1,26.0,1,17.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 13:55:00,2026-05-14 13:57:22.790630,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,13,3,14,5,0,0,5.0,1,0,0.32432432432432434,26.0,0.2777777777777778,26.0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,0.0,1.0,-1.0,25.666666666666668,25.666666666666668,26.666666666666668,0.29354354354354356,0.2937937937937938,0.2712712712712712,0.5773502691896258,1.632993161855452,1,1,1,36.37,37.0,0.0,10000.0,1.78,0,0,25.0,26.5,28.0,0.28378378378378377,0.0,-1.5,-3.0,0.0,0,0,1,0,26.0,1,26.0,1,17.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 14:00:00,2026-05-14 14:02:27.905545,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,14,3,14,5,0,0,5.0,1,0,0.32432432432432434,25.0,0.32432432432432434,26.0,0.2777777777777778,26.0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,-1.0,0.0,-1.0,25.666666666666668,25.5,26.416666666666668,0.2997997997997998,0.30155155155155156,0.278028028028028,0.5773502691896258,1.6431676725154984,1,1,1,36.3,39.0,0.0,10000.0,1.78,0,0,24.65,25.5,26.35,0.31081081081081086,0.3500000000000014,-0.5,-1.3500000000000014,0.20588235294117696,0,0,1,0,24.0,1,25.0,1,20.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 14:05:00,2026-05-14 14:07:33.039707,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,14,3,14,5,0,0,5.0,1,0,0.3055555555555556,25.0,0.32432432432432434,25.0,0.32432432432432434,26.0,0.2777777777777778,26.0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,0.0,-1.0,1.0,25.333333333333332,25.0,26.25,0.30880880880880884,0.3150650650650651,0.2825325325325325,0.5773502691896258,1.0954451150103321,1,1,1,36.3,39.0,0.0,10000.0,1.78,0,0,24.65,25.5,26.35,0.29166666666666663,0.3500000000000014,-0.5,-1.3500000000000014,0.20588235294117696,0,0,1,0,24.0,1,27.0,1,18.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
hanoi,HN_001,2026-05-14 14:10:00,2026-05-14 14:12:38.168125,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40,14,3,14,5,0,0,5.0,1,0,0.2777777777777778,25.0,0.3055555555555556,25.0,0.32432432432432434,25.0,0.32432432432432434,26.0,0.2777777777777778,26.0,0.29729729729729726,25.0,0.3055555555555556,23.0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,0.0,0.0,0.0,25.0,25.333333333333332,26.0,0.3180680680680681,0.30580580580580585,0.2877252252252252,0.0,0.5163977794943222,1,1,1,36.3,39.0,0.0,10000.0,1.78,0,0,24.65,25.5,26.35,0.29166666666666663,1.3500000000000014,0.5,-0.3500000000000014,0.794117647058823,0,0,0,0,27.0,1,26.0,1,21.0,1,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,3,3,0.95,1,0,0,0,0
